restock,policy,seed,deliveries,moves,conflicts,avg_wait
20,nearest,1072,15,458,504,29.41176470588235
20,nearest,1073,36,1027,96,43.75
20,nearest,1074,31,904,175,43.294117647058826
20,nearest,1075,32,954,134,51.285714285714285
20,nearest,1076,26,871,183,51.357142857142854
20,nearest,1077,30,870,197,33.53125
20,nearest,1078,29,910,171,42.774193548387096
20,nearest,1079,29,910,172,39.4375
20,nearest,1080,32,932,135,39.6764705882353
20,nearest,1081,2,98,770,12.0
20,nearest,1082,33,971,132,37.285714285714285
20,nearest,1083,29,891,173,45.13333333333333
20,nearest,1084,6,246,644,21.625
20,nearest,1085,10,330,597,32.833333333333336
20,nearest,1086,32,933,147,47.3235294117647
20,nearest,1087,32,971,116,48.36363636363637
20,nearest,1088,28,884,182,52.483870967741936
20,nearest,1089,12,600,415,25.214285714285715
20,nearest,1090,15,470,484,34.1764705882353
20,nearest,1091,19,696,333,39.714285714285715
20,nearest,1092,28,877,184,48.51724137931034
20,nearest,1093,31,913,167,39.666666666666664
20,nearest,1094,31,940,146,40.0
20,nearest,1095,21,732,270,43.54545454545455
20,nearest,1096,24,804,225,45.23076923076923
20,nearest,1097,30,904,176,42.53125
20,nearest,1098,0,264,649,12.0
20,nearest,1099,2,302,627,19.0
20,qmix,1000,19,630,383,50.76190476190476
20,qmix,1001,23,832,207,68.72
20,qmix,1002,22,817,250,58.875
20,qmix,1003,30,954,129,52.515151515151516
20,qmix,1004,10,492,486,30.545454545454547
20,qmix,1005,31,1015,106,57.875
20,qmix,1006,27,963,144,61.275862068965516
20,qmix,1007,28,955,134,66.26666666666667
20,qmix,1008,8,552,448,35.2
20,qmix,1009,29,959,141,58.45161290322581
20,qmix,1010,29,985,118,62.6875
20,qmix,1011,30,976,134,50.09375
20,qmix,1012,23,875,204,61.88461538461539
20,qmix,1013,23,874,189,58.46153846153846
20,qmix,1014,32,1041,85,56.285714285714285
20,qmix,1015,32,1010,99,56.1764705882353
20,qmix,1016,24,866,197,64.6923076923077
20,qmix,1017,28,985,120,42.70967741935484
20,qmix,1018,30,1001,99,58.96774193548387
20,qmix,1019,28,911,169,52.758620689655174
20,qmix,1020,29,959,135,58.36666666666667
20,qmix,1021,28,913,163,60.93333333333333
20,qmix,1022,10,412,547,41.083333333333336
20,qmix,1023,24,853,192,60.16
20,qmix,1024,24,847,216,68.04
20,qmix,1025,27,933,157,72.20689655172414
20,qmix,1026,21,819,200,69.8695652173913
20,qmix,1027,21,817,223,57.666666666666664
20,qmix,1028,6,262,652,27.5
20,qmix,1029,27,882,190,70.86206896551724
20,qmix,1030,24,908,167,73.57692307692308
20,qmix,1031,33,1049,95,52.411764705882355
